 0.68169 +39.59286  722.28 19 AND
10.14013 -33.84212  238.90 62 ANT
16.20204 -75.22282  206.33 67 APS
22.40784 -10.15606  979.85 10 AQR
19.64765 +02.09636  652.47 22 AQL
17.32854 -54.08356  237.06 63 ARA
 2.66237 +19.95906  441.39 39 ARI
 5.94251 +40.62107  657.44 21 AUR
14.62765 +29.10804  906.83 13 BOO
 4.74490 -38.01489  124.86 81 CAE
 6.41622 +68.43532  756.83 18 CAM
 8.68322 +19.18940  505.87 31 CNC
13.14763 +40.04187  465.19 38 CVN
 6.83024 -21.85711  380.12 43 CMA
 7.62933 +05.89764  183.37 71 CMI
21.02258 -18.55051  413.95 40 CAP
 8.95389 -61.35707  494.18 34 CAR
 1.16855 +61.58313  598.41 25 CAS
13.07069 -45.01624 1060.42  9 CEN
22.97148 +70.82392  587.79 27 CEP
 1.61978 -08.72766 1231.41  4 CET
10.69501 -78.99362  131.59 79 CHA
14.77084 -63.07688   93.35 85 CIR
 5.79349 -35.44140  270.18 54 COL
12.75297 +22.22330  386.47 42 COM
18.64677 -41.05371  127.70 80 CRA
15.88723 +32.09307  178.71 73 CRB
12.42393 -18.09638  183.80 70 CRV
11.40756 -15.65066  282.40 53 CRT
12.44815 -59.99238   68.45 88 CRU
20.61006 +42.53633  803.98 16 CYG
20.68024 +12.15559  188.55 69 DEL
 5.11966 -60.97730  179.17 72 DOR
16.65790 +64.18460 1082.95  8 DRA
21.20178 +07.46555   71.64 87 EQU
 3.74250 -20.76762 1137.92  6 ERI
 2.76596 -31.21532  397.50 41 FOR
 7.15585 +23.25312  513.76 30 GEM
22.53420 -44.93353  365.51 45 GRU
17.28759 +28.11835 1225.15  5 HER
 3.23267 -52.97463  248.88 58 HOR
10.56775 -17.13746 1302.84  1 HYA
 2.36791 -70.98557  243.04 61 HYI
21.61050 -58.12195  294.01 49 IND
22.49739 +45.04069  200.69 68 LAC
10.69330 +14.78016  946.96 12 LEO
10.34904 +33.32078  231.96 64 LMI
 5.57465 -18.99786  290.29 51 LEP
15.22447 -15.15893  538.05 29 LIB
15.28148 -42.20145  333.68 46 LUP
 8.01440 +46.23233  545.39 28 LYN
18.84338 +36.52469  286.48 52 LYR
 5.48830 -77.09548  153.48 75 MEN
20.96469 -35.93783  209.51 66 MIC
 7.01906 -02.66706  481.57 35 MON
12.57279 -69.75414  138.35 77 MUS
16.07217 -51.52873  165.29 74 NOR
20.12756 -82.63119  291.05 50 OCT
17.30225 -05.21711  948.34 11 OPH
 5.59489 +05.13814  594.12 26 ORI
19.60648 -64.78405  377.67 44 PAV
22.70157 +19.11721 1120.79  7 PEG
 3.49832 +43.88451  615.00 24 PER
 0.76550 -47.18675  469.32 37 PHE
 5.61823 -52.23924  246.74 59 PIC
 0.64826 +10.77037  889.42 14 PSC
22.28580 -30.51081  245.37 60 PSA
 7.61916 -32.96146  673.43 20 PUP
 8.91221 -28.38760  220.83 65 PYX
 3.89645 -60.70828  113.94 82 RET
19.71013 +18.62872   79.92 86 SGE
19.18492 -27.09177  867.43 15 SGR
16.79026 -31.81767  496.78 33 SCO
 0.46576 -31.71431  474.76 36 SCL
18.67306 -09.85133  109.11 84 SCT
15.69402 +09.87883  428.48 23 SER1
18.15940 -06.31885  208.44 23 SER2
10.27256 -02.60536  313.52 47 SEX
 4.42213 +16.83941  797.25 17 TAU
19.32748 -50.78692  251.51 57 TEL
 2.13940 +32.05785  131.85 78 TRI
16.06307 -65.64170  109.98 83 TRA
23.89684 -63.91663  294.56 48 TUC
10.98253 +52.52900 1279.66  3 UMA
15.25697 +76.10533  255.86 56 UMI
 9.62356 -47.40951  499.65 32 VEL
13.28989 -02.63866 1294.43  2 VIR
 7.80638 -69.34626  141.35 76 VOL
20.28617 +24.52380  268.17 55 VUL
